date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-05-07 07:32:03,Naijapals,,0,3,1,"JUST IN: Abducted OAU Senior Lecturer, Prof Adegbeingbe Regains Freedom https://www.gistmania.com/talk/topic,387834.0.html?utm_source=dlvr.it&utm_medium=twitter …",,,,1125664578459668485,https://twitter.com/Naijapals/status/1125664578459668485
2019-05-06 13:33:57,CAPTAIN__PAUL,,0,0,0,"The more reason why we aren't sincere with ourselves in this country. How would you be this close to the power that be, and your father is abducted. #NigeriaSecurityIssuespic.twitter.com/DT5FOOZLzO",,,#NigeriaSecurityIssuespic,1125393262376816640,https://twitter.com/CAPTAIN__PAUL/status/1125393262376816640
2019-05-06 13:12:02,Naijapals,,0,2,1,"OAU Professor, Olayinka Adegbehingbe Abducted Along Ife/Ibadan Expressway https://www.gistmania.com/talk/topic,387793.0.html?utm_source=dlvr.it&utm_medium=twitter …",,,,1125387748393701376,https://twitter.com/Naijapals/status/1125387748393701376
2019-05-06 05:48:10,Hmblinkz,,0,1,0,"Houston girl, 5, ‘abducted’ by 3 men in blue pickup, recently had brain surgery https://hmblinkzblogs.com/houston-girl-5-abducted-by-3-men-in-blue-pickup-recently-had-brain-surgery/ …",,,,1125276045471551489,https://twitter.com/Hmblinkz/status/1125276045471551489
2019-05-03 18:51:55,jephaletan,,0,0,1,"I love logotypes but everything is starting to look like a modernist abducted every designers and forced them to a video of Sans Serif fonts nonstop for years",,,,1124386120601616384,https://twitter.com/jephaletan/status/1124386120601616384
2019-05-03 11:44:03,Naijapals,,0,3,1,"Katsina State Police Explains How President Buhari's Village Head Was Abducted https://www.gistmania.com/talk/topic,387601.0.html?utm_source=dlvr.it&utm_medium=twitter …",,,,1124278440935415809,https://twitter.com/Naijapals/status/1124278440935415809
2019-05-02 21:13:55,YoruBad_,,3,28,38,"So one of my friend's was abducted by kidnappers this morning They asked for 3million naira as Ransome. His mum priced it to 70k. He's on his way home now as we speak pic.twitter.com/V8HBXmqOaT",,,,1124059464464830464,https://twitter.com/YoruBad_/status/1124059464464830464
2019-05-02 10:18:50,biafransun,GuardianNigeria,0,0,0,"And all other abducted/kidnapped children",,,,1123894609590013959,https://twitter.com/biafransun/status/1123894609590013959
2019-04-30 13:30:57,Ifeanyi92824393,,0,0,0,"Taraba state university deputy registeria abducted",,,,1123218181764648960,https://twitter.com/Ifeanyi92824393/status/1123218181764648960
2019-04-30 11:26:00,bukolaiji,YomiShogunle,0,0,2,"Your men abducted women off the streets of Abuja via coordinated raids under AEPB. The ECOWAS Court awarded the sum of six million Naira to each plaintiff after finding that your officers violated their fundamental human rights, the African Charter on Human and Peoples Rights",,,,1123186736883015680,https://twitter.com/bukolaiji/status/1123186736883015680
2019-04-30 11:25:39,TuneshSen,,0,0,0,"The new edition of 'Missing' is out now. In a fleeting moment of curiousity, a female NYSC member is abducted. In the days that follow, she and her friends uncover a mind boggling conspiracy. Missing is a thrilling story that keeps you riveted all through. #TuesdayMotivationpic.twitter.com/8OLcfTHf2I",,,#TuesdayMotivationpic,1123186648630661125,https://twitter.com/TuneshSen/status/1123186648630661125
2019-04-29 22:06:08,cbngov_akin1,,2,24,23,"BREAKING: UBEC Chairman Mahmood And Daughter kidnapped, Driver Shot Dead (Video) Mahmood was abducted alongside his daughter while traveling from Kaduna to Abuja on Monday. http://bit.ly/2V3vpHo ME: So sad, May God save him. Such a good and gentle Manpic.twitter.com/0w92EEN7IP",,,,1122985445485359105,https://twitter.com/cbngov_akin1/status/1122985445485359105
2019-04-27 09:50:04,Emalunegbe1,,0,0,0,"Tomorrow they'll be the first to cry no company in the state. Two Chinese Nationals Abducted At Construction Site In Ebonyi By Masked Gunmen | Sahara Reporters http://saharareporters.com/2019/04/26/two-chinese-nationals-abducted-construction-site-ebonyi-masked-gunmen#.XMQlmLI1Fso.twitter … via @AddThis",,@AddThis,#,1122075429941194752,https://twitter.com/Emalunegbe1/status/1122075429941194752
2019-04-22 06:57:52,AvalonGroove,,0,0,0,"NDTV News: British Aid Worker Among 2 Shot Dead In Nigeria, 4 Tourists Abducted. https://www.ndtv.com/world-news/british-aid-worker-faye-mooney-among-2-shot-dead-in-nigeria-4-tourists-abducted-2026458 … via @GoogleNews",,@GoogleNews,,1120220155290771457,https://twitter.com/AvalonGroove/status/1120220155290771457
2019-04-18 09:28:39,OniOluwafunmi,,4,29,53,"I see tweets blaming @obyezeks for not talking about other school students that have been abducted. Why can't others talk about them too? why do we put advocacy into the hands of a few and criticise from a safe distance ?",,@obyezeks,,1118808550233526273,https://twitter.com/OniOluwafunmi/status/1118808550233526273
